1/3/2020 AF Afghanistan 0 0
1/4/2020 AF Afghanistan 1 0
1/5/2020 AF Afghanistan 0 0
1/6/2020 AF Afghanistan 0 1
1/7/2020 AF Afghanistan 0 0
1/8/2020 AF Afghanistan 1 0
1/9/2020 AF Afghanistan 0 0
1/10/2020 AF Afghanistan 0 0
1/3/2020 AL Albania 1 0
1/4/2020 AL Albania 0 1
1/5/2020 AL Albania 0 0
1/6/2020 AL Albania 1 0
1/7/2020 AL Albania 0 1
1/8/2020 AL Albania 1 0
1/9/2020 AL Albania 0 1
1/10/2020 AL Albania 0 0
1/3/2020 DZ Algeria 0 0
1/4/2020 DZ Algeria 0 0
1/5/2020 DZ Algeria 0 0
1/6/2020 DZ Algeria 0 0
1/7/2020 DZ Algeria 0 0
1/8/2020 DZ Algeria 0 0
1/9/2020 DZ Algeria 0 0
1/10/2020 DZ Algeria 0 0
1/3/2020 YE Yemen 1 0
1/4/2020 YE Yemen 1 0
1/5/2020 YE Yemen 0 2
1/6/2020 YE Yemen 2 0
1/7/2020 YE Yemen 2 2
1/8/2020 YE Yemen 1 2
1/9/2020 YE Yemen 0 0
1/10/2020 YE Yemen 0 0
1/3/2020 ZW Zimbabwe 0 0
1/4/2020 ZW Zimbabwe 0 0
1/5/2020 ZW Zimbabwe 0 0
1/6/2020 ZW Zimbabwe 0 0
1/7/2020 ZW Zimbabwe 0 0
1/8/2020 ZW Zimbabwe 0 0
1/9/2020 ZW Zimbabwe 0 0
1/10/2020 ZW Zimbabwe 0 0
